city,drive,fuelType,highway,make,model,,VClass
22,Front-Wheel Drive,Regular,29,Mazda,3,Automatic,Compact Cars
19,Rear-Wheel Drive,Premium,26,Mercedes-Benz,C280,Automatic,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,24,Mercedes-Benz,C280 4matic,Automatic,Compact Cars
18,Rear-Wheel Drive,Premium,27,Mercedes-Benz,C350,Automatic,Compact Cars
17,Rear-Wheel Drive,Premium,26,Mercedes-Benz,C350,Manual,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,22,Mercedes-Benz,C350 4matic,Automatic,Compact Cars
17,Rear-Wheel Drive,Premium,20,Peugeot,505 Station Wagon,Automatic,Midsize-Large Station Wagons
14,Rear-Wheel Drive,Premium,20,Mercedes-Benz,CLS550,Automatic,Compact Cars
12,Rear-Wheel Drive,Premium,18,Mercedes-Benz,CLS63 AMG,Automatic,Compact Cars
18,Front-Wheel Drive,Regular,28,Pontiac,G6,Automatic,Compact Cars
18,Front-Wheel Drive,Regular,26,Pontiac,G6,Automatic,Compact Cars
17,Front-Wheel Drive,Regular,26,Pontiac,G6,Automatic,Compact Cars
16,Front-Wheel Drive,Regular,25,Pontiac,G6,Manual,Compact Cars
15,Front-Wheel Drive,Regular,22,Pontiac,G6 GT/GTP Convertible,Automatic,Compact Cars
17,Rear-Wheel Drive,Premium,22,Toyota,Celica Supra,Automatic,Subcompact Cars
21,Rear-Wheel Drive,Diesel,24,Peugeot,505 Station Wagon,Automatic,Midsize-Large Station Wagons
18,Front-Wheel Drive,Regular,28,Saturn,Aura,Automatic,Midsize Cars
17,Front-Wheel Drive,Regular,26,Saturn,Aura,Automatic,Midsize Cars
21,Front-Wheel Drive,Regular,29,Saturn,Ion,Automatic,Compact Cars
23,Front-Wheel Drive,Regular,32,Saturn,Ion,Manual,Compact Cars
18,4-Wheel or All-Wheel Drive,Premium,25,Subaru,Legacy AWD,Manual,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,24,Subaru,Legacy AWD,Manual,Compact Cars
17,4-Wheel or All-Wheel Drive,Premium,23,Subaru,Legacy AWD,Automatic,Compact Cars
19,Front-Wheel Drive,Regular,28,Suzuki,Forenza,Automatic,Compact Cars
