Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2023,Spring,O,146,N,95.35,4
2022,Fall,H,146,Y,95.3,4
2020,Summer,OC,211,N,95.29,4
2022,Summer,O,211,N,95.23,4
2019,Winter,IP,141,N,95.17,4
2019,Fall,IP,146,Y,95.15,4
2022,Summer,O,146,Y,95.14,4
2020,Fall,IP,146,Y,95.12,4
2024,Winter,O,146,Y,95.11,4
2022,Summer,O,146,Y,95.07,4
2020,Summer,OC,211,N,95.07,4
2020,Spring,OC,211,N,95.05,4
2020,Fall,OC,146,Y,95,4
2020,Fall,OC,146,Y,95,4
2020,Fall,OC,146,Y,95,4
2020,Fall,OC,146,Y,95,4
2020,Fall,OC,146,Y,95,4
2019,Summer,IP,152,N,95,4
2024,Summer,O,211,N,94.96,4
2024,Winter,H,146,Y,94.96,4
2024,Winter,O,146,Y,94.93,4
2022,Fall,H,146,Y,94.91,4
2020,Fall,OC,208,N,94.85,4
2022,Spring,H,146,Y,94.8,4
2021,Fall,H,146,Y,94.79,4
2021,Winter,OC,146,N,94.78,4
2024,Fall,H,99,Y,94.76,4
2020,Spring,OC,211,N,94.76,4
2021,Spring,OC,146,Y,94.75,4
2021,Winter,OC,146,N,94.69,4
2020,Fall,OC,208,N,94.68,4
2023,Spring,O,146,Y,94.64,4
2019,Fall,IP,146,Y,94.56,4
2021,Winter,OC,146,N,94.56,4
2024,Fall,H,99,Y,94.55,4
2021,Winter,OC,146,N,94.5,4
2022,Spring,H,146,Y,94.47,4
2021,Winter,OC,146,N,94.33,3.9
2023,Winter,H,151,N,94.25,1.8
2020,Spring,OC,211,N,94.23,4
2022,Winter,H,107,Y,94.21,4
2022,Fall,H,146,Y,94.18,3.9
2020,Fall,OC,208,N,94.14,4
2022,Summer,O,146,Y,94.14,4
2020,Spring,OC,211,N,94.12,4
2021,Winter,OC,146,N,93.92,3.9
2020,Summer,OC,211,N,93.89,4
2020,Summer,OC,211,N,93.88,3.9
2020,Summer,OC,152,N,93.87,3.9
2023,Winter,O,146,Y,93.86,3.9
2020,Spring,OC,152,N,93.84,4
2020,Summer,OC,152,N,93.82,3.9
2024,Summer,O,148,N,93.8,3.9
2022,Winter,H,146,Y,93.77,3.9
2020,Fall,OC,208,N,93.71,3.9
2019,Winter,IP,152,N,93.71,4
2023,Fall,H,146,N,93.64,3.9
2020,Spring,OC,152,N,93.64,4
2024,Summer,O,148,N,93.63,3.9
2023,Winter,H,151,N,93.63,0
2024,Spring,H,146,Y,93.6,4
2021,Winter,OC,146,Y,93.55,3.9
2019,Winter,IP,98,N,93.54,3.8
2024,Winter,O,146,Y,93.53,3.8
2023,Winter,H,151,N,93.51,4
2019,Winter,IP,98,N,93.5,3.9
2021,Spring,OC,146,Y,93.49,4
2023,Winter,H,151,N,93.46,4
2021,Spring,OC,146,Y,93.44,3.9
