state,name,delta_population,delta_median_hshld_income,delta_median_age,delta_pct_white,delta_pct_bachelors,delta_pct_poverty
Florida,Glades County,3178,-2044,2.8,-1.04,-0.4,-1.6
Florida,Gulf County,2828,5469,1.8,-0.43,4.9,-4.6
Florida,Hamilton County,857,-1404,3.6,-0.03,2.4,5.2
Florida,Hardee County,473,1597,1.5,-0.63,3,-1.6
Florida,Hendry County,4137,668,2,-1.37,0.2,-0.9
Florida,Hernando County,55751,2313,1.9,-2.8,0.9,2.5
Florida,Highlands County,15517,1428,2.4,-2.32,2.5,1.8
Florida,Hillsborough County,409618,4206,1,-3.42,3.2,1.5
Florida,Holmes County,994,5227,0.7,-1.79,0.4,6.7
Florida,Indian River County,41436,1668,4.1,-1.48,1.1,0.1
Florida,Jackson County,1575,-1313,1.3,-1.06,1.2,1.9
Florida,Jefferson County,1242,6240,1.3,-0.48,6.5,-4.8
Florida,Lafayette County,1429,-4933,4.1,-2.28,5,-0.2
Florida,Lake County,135489,3257,1.4,-3.4,2.1,1.8
Florida,Lee County,298336,2038,3.2,-2.55,2.6,2.9
Florida,Leon County,50840,5451,1.2,-2.12,4.2,-1.5
Florida,Levy County,5905,817,2.5,-0.54,-0.3,0.3
Florida,Liberty County,1221,-4036,-0.1,1.27,-4,2
Florida,Madison County,-284,-5643,2.2,-0.6,1.9,10.9
Florida,Manatee County,121569,5596,2.6,-1.53,3.5,0.6
Florida,Marion County,95437,1625,1.8,-2.72,2.3,2.3
Florida,Martin County,33192,2378,2.7,-1.31,2.9,0.5
Florida,Miami-Dade County,498434,2733,1.8,-1.66,1.6,1.8
Florida,Monroe County,-2576,9209,1,-4.01,3.1,1.9
Florida,Nassau County,25058,5582,2.7,-0.4,5.3,2.1
Florida,Okaloosa County,32472,5713,-0.9,-2.59,3,0.9
Florida,Okeechobee County,5695,720,2,-1.69,-0.4,2.6
Florida,Orange County,452631,1448,1.3,-4.39,2.4,3.3
Florida,Osceola County,179687,1015,0.5,-6.13,0.7,4.5
Florida,Palm Beach County,339966,4014,1.3,-4.1,3,1.2
Florida,Pasco County,180878,4061,1.1,-3.67,2.7,1.3
Florida,Pinellas County,49155,3710,2,-2.24,3,1.6
Florida,Polk County,202559,2042,1,-3.62,1.5,2.1
Florida,Putnam County,3041,-1026,2.4,-0.87,0.3,4.3
Florida,St. Johns County,120677,10977,1.3,-1.7,4.3,0
Florida,St. Lucie County,120811,1936,2.7,-2.61,1.8,2.9
Florida,Santa Rosa County,56529,7602,0.8,-2.14,2.4,0
Florida,Sarasota County,93162,5848,3.4,-1.41,4.8,0
Florida,Seminole County,97463,1768,1.4,-4.03,4,2
Florida,Sumter County,71820,11692,5,1.93,11.9,-2
Florida,Suwannee County,9346,4248,-0.6,-1.95,3.5,3.1
Florida,Taylor County,2577,-220,1.4,-1.16,-3.4,-2.7
Florida,Union County,2075,-4334,1.8,-1.72,-1,0.1
Florida,Volusia County,95349,-562,2,-2.49,1.7,2.3
Florida,Wakulla County,9257,4565,1.5,-0.18,0.5,0.1
Florida,Walton County,27775,3346,1.2,-0.78,1.7,2.4
Florida,Washington County,3594,773,0.7,-0.87,-1.5,1.7
